time_open_unix,time_close_unix,contract_symbol,broker_symbol,timeframe,open,high,low,close,tick_volume,spread_points,real_volume,time_basis
1778107800,1778108100,US10YR,US10YR,M5,110.82,110.82,110.8,110.8,8,3,0,MT5_PY_API_UNIX_SECONDS
1778108100,1778108400,US10YR,US10YR,M5,110.82,110.82,110.77,110.77,4,3,0,MT5_PY_API_UNIX_SECONDS
1778108400,1778108700,US10YR,US10YR,M5,110.76,110.79,110.76,110.79,5,3,0,MT5_PY_API_UNIX_SECONDS
1778108700,1778109000,US10YR,US10YR,M5,110.77,110.79,110.77,110.79,2,3,0,MT5_PY_API_UNIX_SECONDS
1778109000,1778109300,US10YR,US10YR,M5,110.8,110.82,110.8,110.82,14,3,0,MT5_PY_API_UNIX_SECONDS
1778109300,1778109600,US10YR,US10YR,M5,110.8,110.82,110.8,110.82,2,3,0,MT5_PY_API_UNIX_SECONDS
1778109600,1778109900,US10YR,US10YR,M5,110.8,110.8,110.8,110.8,1,4,0,MT5_PY_API_UNIX_SECONDS
1778110200,1778110500,US10YR,US10YR,M5,110.82,110.82,110.8,110.8,2,3,0,MT5_PY_API_UNIX_SECONDS
1778110800,1778111100,US10YR,US10YR,M5,110.79,110.79,110.79,110.79,1,3,0,MT5_PY_API_UNIX_SECONDS
1778111100,1778111400,US10YR,US10YR,M5,110.8,110.8,110.79,110.8,3,3,0,MT5_PY_API_UNIX_SECONDS
1778111400,1778111700,US10YR,US10YR,M5,110.79,110.8,110.79,110.8,2,3,0,MT5_PY_API_UNIX_SECONDS
1778115600,1778115900,US10YR,US10YR,M5,110.8,110.8,110.79,110.79,2,3,0,MT5_PY_API_UNIX_SECONDS
1778115900,1778116200,US10YR,US10YR,M5,110.8,110.8,110.8,110.8,1,4,0,MT5_PY_API_UNIX_SECONDS
1778116800,1778117100,US10YR,US10YR,M5,110.82,110.82,110.82,110.82,1,3,0,MT5_PY_API_UNIX_SECONDS
1778117100,1778117400,US10YR,US10YR,M5,110.8,110.8,110.8,110.8,1,4,0,MT5_PY_API_UNIX_SECONDS
1778117700,1778118000,US10YR,US10YR,M5,110.82,110.82,110.82,110.82,1,3,0,MT5_PY_API_UNIX_SECONDS
1778120100,1778120400,US10YR,US10YR,M5,110.8,110.8,110.8,110.8,1,4,0,MT5_PY_API_UNIX_SECONDS
1778120700,1778121000,US10YR,US10YR,M5,110.82,110.82,110.82,110.82,1,3,0,MT5_PY_API_UNIX_SECONDS
1778121000,1778121300,US10YR,US10YR,M5,110.8,110.82,110.8,110.82,4,3,0,MT5_PY_API_UNIX_SECONDS
1778121300,1778121600,US10YR,US10YR,M5,110.8,110.8,110.8,110.8,1,4,0,MT5_PY_API_UNIX_SECONDS
1778122800,1778123100,US10YR,US10YR,M5,110.79,110.8,110.79,110.8,2,3,0,MT5_PY_API_UNIX_SECONDS
1778123400,1778123700,US10YR,US10YR,M5,110.82,110.83,110.82,110.83,2,3,0,MT5_PY_API_UNIX_SECONDS
1778123700,1778124000,US10YR,US10YR,M5,110.82,110.83,110.79,110.79,5,3,0,MT5_PY_API_UNIX_SECONDS
1778124000,1778124300,US10YR,US10YR,M5,110.8,110.8,110.79,110.79,2,3,0,MT5_PY_API_UNIX_SECONDS
1778124300,1778124600,US10YR,US10YR,M5,110.77,110.79,110.77,110.79,4,3,0,MT5_PY_API_UNIX_SECONDS
1778124900,1778125200,US10YR,US10YR,M5,110.8,110.8,110.8,110.8,1,4,0,MT5_PY_API_UNIX_SECONDS
1778125200,1778125500,US10YR,US10YR,M5,110.79,110.79,110.77,110.79,5,3,0,MT5_PY_API_UNIX_SECONDS
1778125500,1778125800,US10YR,US10YR,M5,110.8,110.8,110.79,110.79,6,3,0,MT5_PY_API_UNIX_SECONDS
1778125800,1778126100,US10YR,US10YR,M5,110.8,110.8,110.8,110.8,1,4,0,MT5_PY_API_UNIX_SECONDS
1778126100,1778126400,US10YR,US10YR,M5,110.79,110.8,110.79,110.8,6,3,0,MT5_PY_API_UNIX_SECONDS
1778127000,1778127300,US10YR,US10YR,M5,110.82,110.87,110.82,110.83,12,3,0,MT5_PY_API_UNIX_SECONDS
1778127300,1778127600,US10YR,US10YR,M5,110.85,110.85,110.83,110.83,8,3,0,MT5_PY_API_UNIX_SECONDS
1778127600,1778127900,US10YR,US10YR,M5,110.85,110.85,110.83,110.85,5,3,0,MT5_PY_API_UNIX_SECONDS
1778128200,1778128500,US10YR,US10YR,M5,110.83,110.83,110.83,110.83,1,4,0,MT5_PY_API_UNIX_SECONDS
1778128500,1778128800,US10YR,US10YR,M5,110.85,110.85,110.83,110.85,11,3,0,MT5_PY_API_UNIX_SECONDS
1778128800,1778129100,US10YR,US10YR,M5,110.87,110.87,110.85,110.87,7,3,0,MT5_PY_API_UNIX_SECONDS
1778129100,1778129400,US10YR,US10YR,M5,110.85,110.85,110.83,110.83,2,3,0,MT5_PY_API_UNIX_SECONDS
1778129400,1778129700,US10YR,US10YR,M5,110.85,110.85,110.83,110.83,2,3,0,MT5_PY_API_UNIX_SECONDS
1778129700,1778130000,US10YR,US10YR,M5,110.82,110.83,110.82,110.83,4,3,0,MT5_PY_API_UNIX_SECONDS
