candidate_id,artifact_slug,feature,max_abs_coef,dominant_label,dominant_sign,coef_short,coef_flat,coef_long
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,ema9_ema20_diff,0.2364500073744027,long,1,-0.20917291112067693,-0.027277096253728123,0.2364500073744027
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,atr_14,0.20464401905212096,short,-1,-0.20464401905212096,0.05150935055103015,0.15313466850109794
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,atr_50,0.2015153345773432,short,1,0.2015153345773432,-0.08203584914560134,-0.1194794854317363
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,ema50_ema200_diff,0.16710510827305683,short,-1,-0.16710510827305683,0.06782466432641887,0.09928044394662809
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,hl_zscore_50,0.14829256568541158,flat,1,-0.038776121448144754,0.14829256568541158,-0.10951644423726989
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,minutes_from_cash_open,0.14490111944724185,flat,1,-0.04594944374198367,0.14490111944724185,-0.09895167570525638
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,bb_position_20,0.14002300266445206,short,1,0.14002300266445206,-0.047528247725946625,-0.0924947549385093
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,rsi_50,0.12045798423276881,short,1,0.12045798423276881,-0.11143818372630582,-0.009019800506463617
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,atr_14_over_atr_50,0.11673339376009523,long,-1,0.06961608467903652,0.047117309081052015,-0.11673339376009523
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,rsi_14,0.1156601183899956,short,-1,-0.1156601183899956,0.1147940404775836,0.0008660779124112527
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,rsi_14_minus_50,0.11565969993806324,short,-1,-0.11565969993806324,0.11479302601791992,0.0008666739201418426
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,trix_15,0.11052485861639165,flat,-1,0.0770241401458365,-0.11052485861639165,0.03350071847055953
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,di_spread_14,0.10811771749996847,flat,-1,0.0014824617745989403,-0.10811771749996847,0.10663525572536936
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,is_first_30m_after_open,0.08698116556067423,flat,-1,0.050997507524961426,-0.08698116556067423,0.035983658035710984
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,rsi_14_slope_3,0.08504912660019819,long,1,-0.038600139521387834,-0.0464489870788133,0.08504912660019819
macro48_no_equity_breadth_or_top3__l2_balanced_c025,m48_bal,historical_vol_20,0.0803387183767133,flat,-1,0.045276568796008734,-0.0803387183767133,0.03506214958070084
macro48_no_equity_breadth_or_top3__l2_plain_c025,m48_plain,close_ema20_ratio,0.35433876348348825,short,1,0.35433876348348825,-0.17073373428239758,-0.18360502920108118
macro48_no_equity_breadth_or_top3__l2_plain_c025,m48_plain,ema20_ema50_diff,0.33816579754686876,long,-1,0.22585509646289473,0.11231070108397072,-0.33816579754686876
macro48_no_equity_breadth_or_top3__l2_plain_c025,m48_plain,hl_range,0.2912029737846556,flat,-1,0.1290764222890729,-0.2912029737846556,0.16212655149557106
macro48_no_equity_breadth_or_top3__l2_plain_c025,m48_plain,close_ema50_ratio,0.2862395732579364,short,-1,-0.2862395732579364,0.10079323081416262,0.1854463424437714
macro48_no_equity_breadth_or_top3__l2_plain_c025,m48_plain,ema9_ema20_diff,0.23081491751319191,long,1,-0.2120474777754728,-0.018767439737722665,0.23081491751319191
