adapter_id,split,chron_segment,direction,session_slice,trend_regime,adx_bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,mfe_mean,mae_mean,mfe_capture_ratio,max_closed_trade_drawdown,stage99_read
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,early,sell,early,range_or_weak_trend,adx_lt20,1,-39.18,0.000000,-39.180000,0.000000,0.245000,69.702500,-159.918367,39.18,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,early,sell,late,downtrend,adx_gt25,4,173.57,7.476493,43.392500,0.500000,56.764750,21.080150,0.764427,26.80,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,early,sell,mid,downtrend,adx_gt25,2,-12.83,0.650409,-6.415000,0.500000,21.561250,23.539800,-0.297524,36.70,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,late,buy,early,downtrend,adx_20_25,10,70.26,1.901926,7.026000,0.600000,25.356960,24.917630,0.277084,51.12,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,late,buy,early,downtrend,adx_gt25,18,94.52,1.559522,5.251111,0.611111,28.473172,18.341928,0.184423,100.05,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,late,buy,early,range_or_weak_trend,adx_lt20,5,-105.92,0.122161,-21.184000,0.200000,17.483800,36.361340,-1.211636,105.92,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,late,buy,late,downtrend,adx_gt25,4,86.11,5.133941,21.527500,0.500000,41.453425,12.357275,0.519318,20.83,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,late,buy,mid,downtrend,adx_20_25,1,53.05,inf,53.050000,1.000000,54.550000,3.200000,0.972502,0.00,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,late,buy,mid,downtrend,adx_gt25,7,-8.68,0.902142,-1.240000,0.285714,23.691171,26.337614,-0.052340,56.12,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,late,buy,mid,range_or_weak_trend,adx_lt20,2,4.01,inf,2.005000,1.000000,11.433600,24.360000,0.175360,0.00,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,late,sell,early,downtrend,adx_20_25,1,-5.55,0.000000,-5.550000,0.000000,100.412500,19.212500,-0.055272,5.55,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,late,sell,early,downtrend,adx_gt25,12,171.81,1.616381,14.317500,0.583333,57.233600,38.401850,0.250159,223.75,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,late,sell,early,range_or_weak_trend,adx_lt20,2,-56.44,0.000000,-28.220000,0.000000,52.566000,58.394000,-0.536849,56.44,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,late,sell,late,downtrend,adx_gt25,2,49.72,9.974729,24.860000,0.500000,38.923000,44.808250,0.638697,5.54,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,late,sell,mid,downtrend,adx_gt25,1,-10.44,0.000000,-10.440000,0.000000,0.705600,26.174400,-14.795918,10.44,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,mid,buy,early,downtrend,adx_20_25,9,107.98,2.428496,11.997778,0.444444,35.533389,19.214189,0.337648,36.81,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,mid,buy,early,downtrend,adx_gt25,16,71.08,1.423726,4.442500,0.625000,26.975650,23.140544,0.164686,94.60,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,mid,buy,early,range_or_weak_trend,adx_lt20,2,-109.15,0.000000,-54.575000,0.000000,10.818100,73.574300,-5.044786,109.15,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,mid,buy,late,downtrend,adx_20_25,2,50.50,inf,25.250000,1.000000,42.637000,13.191850,0.592209,0.00,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,mid,buy,late,downtrend,adx_gt25,3,-11.93,0.567440,-3.976667,0.333333,11.100167,24.700867,-0.358253,16.42,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,mid,buy,late,range_or_weak_trend,adx_lt20,4,-11.59,0.701596,-2.897500,0.250000,19.069625,23.320050,-0.151943,38.84,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,mid,buy,mid,downtrend,adx_20_25,2,19.88,6.568627,9.940000,0.500000,27.037500,10.169150,0.367638,3.57,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,mid,buy,mid,downtrend,adx_gt25,5,165.75,5.645460,33.150000,0.800000,63.415640,29.281240,0.522742,35.68,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,mid,buy,mid,range_or_weak_trend,adx_lt20,10,65.38,1.810061,6.538000,0.700000,21.545430,21.210250,0.303452,76.90,context_slice_measurement
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,mid,sell,early,downtrend,adx_20_25,1,-51.34,0.000000,-51.340000,0.000000,16.100000,127.500000,-3.188820,51.34,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,mid,sell,early,downtrend,adx_gt25,4,-0.95,0.974585,-0.237500,0.500000,35.039775,23.605900,-0.006778,37.38,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,mid,sell,late,downtrend,adx_gt25,5,-58.84,0.410244,-11.768000,0.600000,32.411160,33.172500,-0.363085,99.77,negative_context_slice
s97_v41_h4_risk475_gate08_sl2075_tp40_cd10,validation_is,mid,sell,mid,downtrend,adx_gt25,3,-8.60,0.488095,-2.866667,0.333333,18.301700,13.302700,-0.156634,12.82,negative_context_slice
