record_view,tier_scope,candidate_id,candidate_alias,candidate_role,source_test_id,state_profile,state_feature,materialization_boundary,route_role,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,report_equity_drawdown_percent,report_balance_drawdown_percent,report_recovery_factor,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,source_chart_path,curve_read
mt5_rt_s264_aia_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,309,1151.94,3036.24,-1884.3,1.611336,3.727961,0.585761,16.774807,-14.721094,1.139508,258.45,14.457214,75,0.76699,6,4.45711,15.07,13.84,4.05,0.75,3,2024-12,-161.26,2024-11,297.88,476.88,166.01,509.05,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_range_expansion_pressure_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s264_aia_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,314,1015.1,3091.8,-2076.7,1.488804,3.232803,0.566879,17.369663,-15.269853,1.137513,315.84,17.698877,80,0.77707,7,3.213969,19.11,17.7,2.94,0.75,3,2024-12,-220.9,2024-10,273.29,467.5,151.57,396.03,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_trend_strength_disagreement_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s264_aia_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A+B,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,314,1015.1,3091.8,-2076.7,1.488804,3.232803,0.566879,17.369663,-15.269853,1.137513,315.84,17.698877,80,0.77707,7,3.213969,19.11,17.7,2.94,0.75,3,2024-12,-220.9,2024-10,273.29,467.5,151.57,396.03,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s264_aia_trend_strength_disagreement_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_ta_s258_stc_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,298,885.68,2741.76,-1856.08,1.477178,2.972081,0.57047,16.128,-14.500625,1.112228,255.95,16.243265,109,0.781879,7,3.460363,17.67,16.24,3.14,0.75,3,2024-12,-164.77,2024-11,292.51,440.85,20.87,423.96,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_return_shock_absorption_ta_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_rt_s258_stc_return_shock_absorption_historical_2024_tier_a_train_era_stress,Tier A+B,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,return_shock_absorption,stage267_state_return_shock_absorption_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,298,885.68,2741.76,-1856.08,1.477178,2.972081,0.57047,16.128,-14.500625,1.112228,255.95,16.243265,109,0.781879,7,3.460363,17.67,16.24,3.14,0.75,3,2024-12,-164.77,2024-11,292.51,440.85,20.87,423.96,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_return_shock_absorption_rt_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_ta_s258_stc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,303,1450.57,3909.38,-2458.81,1.589948,4.78736,0.590759,21.840112,-19.829113,1.101416,398.92,17.392138,51,0.722772,6,3.636243,18.01,17.39,3.49,0.833333,2,2024-12,-241.73,2024-10,304.15,662.99,258.52,529.06,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_volatility_regime_expansion_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s258_stc_volatility_regime_expansion_historical_2024_tier_a_train_era_stress,Tier A+B,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,volatility_regime_expansion,stage267_state_volatility_regime_expansion_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,303,1450.57,3909.38,-2458.81,1.589948,4.78736,0.590759,21.840112,-19.829113,1.101416,398.92,17.392138,51,0.722772,6,3.636243,18.01,17.39,3.49,0.833333,2,2024-12,-241.73,2024-10,304.15,662.99,258.52,529.06,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_volatility_regime_expansion_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_ta_s258_stc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,294,907.51,2774.73,-1867.22,1.486022,3.086769,0.581633,16.226491,-15.18065,1.068893,262.85,16.366852,76,0.765306,7,3.452578,18.03,16.37,3.09,0.75,3,2024-12,-171.15,2024-11,285.75,441.72,79.92,385.87,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_range_expansion_pressure_ta_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_rt_s258_stc_range_expansion_pressure_historical_2024_tier_a_train_era_stress,Tier A+B,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,range_expansion_pressure,stage267_state_range_expansion_pressure_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,294,907.51,2774.73,-1867.22,1.486022,3.086769,0.581633,16.226491,-15.18065,1.068893,262.85,16.366852,76,0.765306,7,3.452578,18.03,16.37,3.09,0.75,3,2024-12,-171.15,2024-11,285.75,441.72,79.92,385.87,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_range_expansion_pressure_rt_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_ta_s258_stc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,tier_only_total,321,1385.53,3972.84,-2587.31,1.53551,4.316293,0.576324,21.474811,-19.024338,1.128807,375.19,17.200767,82,0.76947,7,3.692876,18.75,17.2,3.34,0.75,3,2024-12,-239.82,2024-11,351.17,641.31,236.85,507.37,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_trend_strength_disagreement_ta_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
mt5_rt_s258_stc_trend_strength_disagreement_historical_2024_tier_a_train_era_stress,Tier A+B,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,trend_strength_disagreement,stage267_state_trend_strength_disagreement_score,pool_wide_state_feature_engineering_score_table_extension_not_retrained,routed_total_duplicate_boundary,321,1385.53,3972.84,-2587.31,1.53551,4.316293,0.576324,21.474811,-19.024338,1.128807,375.19,17.200767,82,0.76947,7,3.692876,18.75,17.2,3.34,0.75,3,2024-12,-239.82,2024-11,351.17,641.31,236.85,507.37,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AP/pool_wide_state_feature_engineering_mt5_execution/mt5/reports/Project_Obsidian_Prime_v2_run267AO_stage267_pool_wide_state_feature_engineering_materialization_v1_run267ao_s258_stc_trend_strength_disagreement_rt_2024.png,headline_good_but_hole_uncomfortable(대표 숫자는 좋지만 구멍 불편)
