attempt_name,artifact_slug,axis,bucket,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,max_drawdown
c56_plain_sp,c56_plain,usd_regime,usdx_high,27,42.68,154.78,-112.1,1.380731,1.580741,0.555556,84.59
c56_plain_sp,c56_plain,usd_regime,usdx_low,31,80.57,151.55,-70.98,2.135108,2.599032,0.580645,13.14
c56_plain_sp,c56_plain,usd_regime,usdx_mid,12,42.41,50.33,-7.92,6.354798,3.534167,0.666667,3.97
m48_bal_sp,m48_bal,usd_regime,usdx_high,31,-6.22,128.55,-134.77,0.953847,-0.200645,0.516129,49.04
m48_bal_sp,m48_bal,usd_regime,usdx_low,23,69.49,120.43,-50.94,2.364154,3.021304,0.695652,16.01
m48_bal_sp,m48_bal,usd_regime,usdx_mid,17,52.92,99.92,-47.0,2.125957,3.112941,0.647059,37.26
m48_plain_sp,m48_plain,usd_regime,usdx_high,27,8.04,118.93,-110.89,1.072504,0.297778,0.592593,82.36
m48_plain_sp,m48_plain,usd_regime,usdx_low,30,87.44,150.17,-62.73,2.39391,2.914667,0.6,13.14
m48_plain_sp,m48_plain,usd_regime,usdx_mid,12,77.94,81.39,-3.45,23.591304,6.495,0.833333,1.96
u42_bal_sp,u42_bal,usd_regime,usdx_missing,70,3.99,315.91,-311.92,1.012792,0.057,0.557143,62.75
u42_plain_sp,u42_plain,usd_regime,usdx_missing,72,120.78,344.98,-224.2,1.538715,1.6775,0.638889,63.93
c56_bal_sp,c56_bal,usd_change_regime,usdx_change_down,31,72.6,173.47,-100.87,1.719738,2.341935,0.612903,37.31
c56_bal_sp,c56_bal,usd_change_regime,usdx_change_flat,5,2.1,20.18,-18.08,1.11615,0.42,0.4,18.08
c56_bal_sp,c56_bal,usd_change_regime,usdx_change_up,34,-31.46,140.31,-171.77,0.816848,-0.925294,0.529412,62.57
c56_plain_sp,c56_plain,usd_change_regime,usdx_change_down,35,40.6,134.61,-94.01,1.431869,1.16,0.542857,61.19
c56_plain_sp,c56_plain,usd_change_regime,usdx_change_flat,2,-11.77,0,-11.77,0.0,-5.885,0.0,11.77
c56_plain_sp,c56_plain,usd_change_regime,usdx_change_up,33,136.83,222.05,-85.22,2.605609,4.146364,0.666667,53.18
m48_bal_sp,m48_bal,usd_change_regime,usdx_change_down,29,73.88,154.62,-80.74,1.915036,2.547586,0.62069,49.51
m48_bal_sp,m48_bal,usd_change_regime,usdx_change_flat,5,-1.65,20.9,-22.55,0.926829,-0.33,0.6,22.55
m48_bal_sp,m48_bal,usd_change_regime,usdx_change_up,37,43.96,173.38,-129.42,1.339669,1.188108,0.594595,44.08
m48_plain_sp,m48_plain,usd_change_regime,usdx_change_down,34,62.77,152.63,-89.86,1.698531,1.846176,0.558824,58.73
m48_plain_sp,m48_plain,usd_change_regime,usdx_change_flat,2,-11.77,0,-11.77,0.0,-5.885,0.0,11.77
m48_plain_sp,m48_plain,usd_change_regime,usdx_change_up,33,122.42,197.86,-75.44,2.622747,3.709697,0.757576,46.81
u42_bal_sp,u42_bal,usd_change_regime,usdx_change_missing,70,3.99,315.91,-311.92,1.012792,0.057,0.557143,62.75
u42_plain_sp,u42_plain,usd_change_regime,usdx_change_missing,72,120.78,344.98,-224.2,1.538715,1.6775,0.638889,63.93
c56_bal_sp,c56_bal,rate_regime,us10yr_high,18,47.64,96.04,-48.4,1.984298,2.646667,0.555556,23.61
c56_bal_sp,c56_bal,rate_regime,us10yr_low,35,-123.3,95.78,-219.08,0.437192,-3.522857,0.428571,123.3
c56_bal_sp,c56_bal,rate_regime,us10yr_mid,17,118.9,142.14,-23.24,6.116179,6.994118,0.823529,8.59
c56_plain_sp,c56_plain,rate_regime,us10yr_high,20,22.65,69.02,-46.37,1.488462,1.1325,0.55,18.94
