record_type,feature_index,item_index,value,score_short,score_flat,score_long
cut,9,10,0.73040208220481873,,,
cut,9,11,0.75897225737571716,,,
cut,9,12,0.78923302888870239,,,
cut,9,13,0.81725472211837769,,,
cut,9,14,0.84610289335250854,,,
cut,9,15,0.87554994225502014,,,
cut,9,16,0.90596878528594971,,,
cut,9,17,0.93529504537582397,,,
cut,9,18,0.96874028444290161,,,
cut,9,19,1.0035405158996582,,,
cut,9,20,1.0401588082313538,,,
cut,9,21,1.0768803358078003,,,
cut,9,22,1.1223649382591248,,,
cut,9,23,1.1717683672904968,,,
cut,9,24,1.2280311584472656,,,
cut,9,25,1.2885215282440186,,,
cut,9,26,1.3621480464935303,,,
cut,9,27,1.4686336517333984,,,
cut,9,28,1.6080487370491028,,,
score,9,0,,0,0,0
score,9,1,,-0.04434220415239043,0.062275562162731828,-0.019588326628236379
score,9,2,,-0.030386573162185189,0.033278252653710289,-0.0039524532419951347
score,9,3,,-0.024661471670502123,0.024080652252926202,-0.00024529520532517687
score,9,4,,-0.021199562174294924,0.015260313468348172,0.0052197972066920862
score,9,5,,-0.020241262492516503,0.012019080283479871,0.0075030460244989525
score,9,6,,-0.017221609372561286,0.0077456222310220034,0.0088539899104654578
score,9,7,,-0.015020637328511579,0.0046054241598228662,0.009845602842704115
score,9,8,,-0.014813325814887462,0.0049892476066988002,0.0092878250651027665
score,9,9,,-0.014258900003871229,0.0051745946237743848,0.0086043942555785718
score,9,10,,-0.0080342363571850369,0.0028798666492269821,0.0050907851444068047
score,9,11,,-0.0079416266383757709,0.00357878495212935,0.0043434608490645803
score,9,12,,-0.0070687841291056531,0.0060676416244257831,0.0011868256889112816
score,9,13,,-0.0069886035733862616,0.006237241411050626,0.00095323354696508569
score,9,14,,-0.0046856253485774383,0.0044740782015857189,0.00050701015943820983
score,9,15,,-0.0033023963624953141,0.0038280731613699048,-0.00016186805262666064
score,9,16,,-0.00015803659203273324,0.0013559473531846696,-0.00071660904618219392
score,9,17,,0.0032995004964017517,-0.0015653919637849468,-0.0011715835953228127
score,9,18,,0.0064223897285203072,-0.0038568195737889244,-0.0019377920723833522
score,9,19,,0.0068472793699307279,-0.0041007481732238454,-0.0021084694259720749
score,9,20,,0.0085375070427830616,-0.0050936133027097161,-0.0027768479760941853
score,9,21,,0.0085375070427830616,-0.0050936133027097161,-0.0027768479760941853
score,9,22,,0.0094169294345150152,-0.0052609479872114872,-0.0034506861409872597
score,9,23,,0.010400155255602558,-0.0064279376476214832,-0.0033182266587653457
score,9,24,,0.017544721107161921,-0.015537068332499947,-0.0017803714176533947
score,9,25,,0.020669334604953897,-0.018929286180816223,-0.0017508946970690368
score,9,26,,0.027347097994059294,-0.025798932599187033,-0.0017836084889634235
score,9,27,,0.028882014224447496,-0.024711367349676841,-0.004168805384625311
score,9,28,,0.027287699256127555,-0.022490162416319265,-0.0044870466655763568
score,9,29,,0.033136070319968562,-0.030319785008066896,-0.0025040433833262033
score,9,30,,0.032073372886295824,-0.028762813490536953,-0.0026920254581178941
score,9,31,,0,0,0
cut,10,0,12.095870018005371,,,
