run_id,attempt_name,split,model_id,threshold_id,runtime_trade_shape,entry_timestamp,exit_timestamp,held_m5,side,entry_score,threshold,entry_open,exit_open,net_profit,adx_14,exit_reason,claim_boundary
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-07T18:20:00Z,2025-04-07T19:00:00Z,8,long,0.01700809598,-0.000562137088,17179.46,17221.58,3.912,20.492404937744,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-07T19:15:00Z,2025-04-07T19:55:00Z,8,long,0.016166061163,-0.000562137088,17130.46,17157.83,2.437,13.628395080566,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-07T20:10:00Z,2025-04-07T20:50:00Z,8,long,0.015227168798,-0.000562137088,17158.96,17540.33,37.837,10.692087173462,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-07T20:55:00Z,2025-04-07T21:35:00Z,8,long,0.059148848057,-0.000562137088,17569.71,17489.21,-8.35,24.522737503052,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-07T21:40:00Z,2025-04-08T16:50:00Z,8,long,0.032904118299,-0.000562137088,17544.83,17941.68,39.385,26.573268890381,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-08T20:45:00Z,2025-04-08T21:25:00Z,8,long,0.045727580786,-0.000562137088,17536.05,17432.18,-10.687,37.342380523682,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-09T16:35:00Z,2025-04-09T17:15:00Z,8,long,0.106428235769,-0.000562137088,17113.27,17200.52,8.425,27.441553115845,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-09T18:10:00Z,2025-04-09T18:50:00Z,8,long,0.020123153925,-0.000562137088,17210.15,17218.52,0.537,33.387058258057,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-09T18:55:00Z,2025-04-09T19:35:00Z,8,long,0.001910179853,-0.000562137088,17183.27,17328.02,14.175,24.744365692139,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-09T19:40:00Z,2025-04-09T20:20:00Z,8,long,0.029445558786,-0.000562137088,17332.15,17819.52,48.437,23.531461715698,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364R_package_drawdown_side_balance_overlay_runtime_probe_without_db_v1,run364R_h12_rf5_adx34_block_high_side_filter_maxhold8,validation,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__adx34_block_high,mt5_native_maxhold8_plus_adx_side_filter,2025-04-09T20:25:00Z,2025-04-09T21:05:00Z,8,long,0.081032931805,-0.000562137088,18221.12,18754.4,53.028,37.092021942139,close_max_hold,research_development_runtime_probe_package_only_common_files_synced_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
