rank,selection_label,development_score,run_number,variant_id,validation_trades_per_day,oos_trades_per_day,validation_pf,oos_pf,validation_net,oos_net,validation_drawdown,oos_drawdown,validation_cost_stressed_expectancy,oos_cost_stressed_expectancy,validation_same_move_ratio,oos_same_move_ratio,validation_cooldown12_trades_per_day,oos_cooldown12_trades_per_day,validation_mfe_capture,oos_mfe_capture,tier_a_validation_net,tier_a_oos_net,tier_b_validation_net,tier_b_oos_net,failure_reasons,source_summary_path,notes
55,reference_only,36.095384,run50X,nfx_s33l20_c3_s2030,7.196721,5.056410,1.150000,1.100000,451.990000,251.320000,249.560000,142.590000,,,,,,,,,457.870000,201.810000,-17.190000,-2.520000,strong_selected_research_baseline_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50X_summary.csv,lower thresholds to recover density after wider short ADX 20-30 firewall
56,reference_only,36.095384,run50Z,nfz_s31l18_c3_s2030_b,7.196721,5.056410,1.150000,1.100000,451.990000,251.320000,249.560000,142.590000,,,,,,,,,457.870000,201.810000,-17.190000,-2.520000,strong_selected_research_baseline_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50Z_summary.csv,matched A+B routed comparison for Tier B disablement evidence
57,failure_memory,36.066835,run50BC,v20_slot45_even_long_odd_short_always_h2c0_no_b,7.584699,5.158974,0.940000,0.800000,-121.560000,-338.140000,203.430000,342.490000,-0.587579,-0.836123,0.076369,0.040755,7.005464,4.948718,0.588568,0.588450,-121.560000,-338.140000,-148.890000,156.090000,validation_net_positive;oos_net_positive;validation_pf;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BC_summary.csv,Always-fire 45-minute alternating control selected because train/validation/OOS proxy edge was all positive.
58,failure_memory,36.031894,run50BG,v37_v22_slot8_relax_h3c0_no_b,6.469945,4.471795,1.150000,0.980000,406.430000,-43.200000,267.900000,198.860000,-0.156731,-0.549541,0.315878,0.287844,4.426230,3.184615,0.624655,0.611765,406.430000,-43.200000,-78.740000,-144.030000,oos_density;oos_net_positive;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BG_summary.csv,Hold3 version of run50BE slot8 top-up; tests whether MFE capture repairs OOS quality without Tier B damage.
59,reference_only,35.972205,run50AS,et40h6_r030_a,5.535519,3.800000,1.140000,1.390000,357.690000,633.650000,275.150000,148.820000,,,,,,,,,357.690000,633.650000,-80.990000,13.500000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AS_summary.csv,run50AR et40s25_c0_h6_a with 0.030 confidence pulse rearm; balanced guard against same-move split trading
60,reference_only,35.972205,run50AS,et40h6_r030_s24l15_a,5.535519,3.800000,1.140000,1.390000,357.690000,633.650000,275.150000,148.820000,,,,,,,,,357.690000,633.650000,-80.990000,13.500000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AS_summary.csv,0.030 rearm with slightly lower thresholds to recover transition-gated density without returning to same-signal splitting
61,reference_only,35.929317,run50W,nfw_s33l20_c3_sadx,7.754098,5.384615,1.130000,1.060000,397.590000,149.560000,289.410000,235.720000,,,,,,,,,421.140000,98.160000,-16.130000,-2.520000,selected_research_baseline_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50W_summary.csv,strong density pressure after short ADX 20-25 and three-bar reentry firewalls
62,reference_only,35.925899,run50BF,v34_v22_midcov_h3c2_with_b,6.786885,4.405128,1.100000,1.030000,240.020000,59.220000,320.630000,158.880000,-0.306747,-0.431059,0.260870,0.267753,5.016393,3.225641,0.601309,0.621708,204.410000,96.470000,-189.780000,6.470000,oos_density;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BF_summary.csv,Run50BE v30 source with max hold 3 and two-bar re-entry cooldown; tests real density survival after same-move reduction.
63,reference_only,35.873686,run50AN,inv6_s040l040_h3_b060,9.327869,6.887179,0.890000,0.940000,-465.220000,-185.520000,672.910000,490.950000,,,,,,,,,-432.680000,-144.840000,0.000000,11.600000,inconclusive_stage56_lgbm_fwd6_density_branch_mt5_runtime_probe_completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AN_summary.csv,invert fwd6 LGBM raw direction after run50AM systematic negative MT5 result; lower threshold and hold3 test whether inverse edge can recover real density
64,reference_only,35.831961,run50BJ,s47c03_h4c0,7.797814,5.487179,1.020000,1.120000,74.880000,273.110000,310.410000,166.020000,-0.447526,-0.244757,0.659425,0.706542,2.655738,1.610256,0.593685,0.609900,67.040000,143.250000,191.090000,-121.580000,validation_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BJ_summary.csv,Stage47 majority agreement raw-density check; tests whether consensus source is less same-move dominated than ExtraTrees thresholds.
65,failure_memory,35.402275,run50BC,v17_slot40_even_short_odd_long_context_h2c0_no_b,6.606557,4.533333,1.120000,0.910000,203.130000,-118.130000,167.950000,265.180000,-0.331985,-0.633631,0.181969,0.178733,5.404372,3.723077,0.603929,0.581186,203.130000,-118.130000,-22.950000,-278.000000,oos_density;oos_net_positive;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BC_summary.csv,40-minute alternating side context source; Tier B disabled in routed path to test same-move repair without fallback damage.
66,reference_only,35.277130,run50BJ,s43c02_h4c0,7.393443,5.600000,1.120000,1.060000,363.020000,156.490000,392.900000,198.340000,-0.231693,-0.356694,0.740576,0.780220,1.918033,1.230769,0.595908,0.605994,317.360000,156.810000,238.340000,-20.270000,oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BJ_summary.csv,Stage43 low-complexity raw-density check; tests whether a simpler source gives cleaner route coverage.
67,reference_only,35.124565,run50Z,nfz_s31l18_c3_s2030_a,7.142077,4.969231,1.150000,1.080000,457.870000,201.810000,249.560000,158.260000,,,,,,,,,457.870000,201.810000,-17.190000,-2.520000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50Z_summary.csv,A-only density repair after run50Y; keep short ADX 20-30 block and reintroduce all buy ADX
68,reference_only,34.504482,run50AL,nfal_s33l20_r020,7.202186,4.789744,1.130000,1.090000,423.320000,213.370000,254.970000,166.350000,,,,,,,,,399.000000,224.320000,-82.210000,5.240000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AL_summary.csv,run50X anchor with transition gate rearmed by 0.020 confidence rise
69,reference_only,34.355257,run50AT,et30h6_r030_a,5.524590,3.902564,1.130000,1.320000,324.600000,576.560000,199.660000,185.550000,,,,,,,,,324.600000,576.560000,-80.990000,13.500000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AT_summary.csv,leaf30 middle granularity with quality rearm; compares against leaf20 and run50AS leaf40
70,reference_only,34.332417,run50AT,et30h6_r015_a,6.125683,4.379487,1.060000,1.290000,157.820000,604.460000,288.640000,220.540000,,,,,,,,,157.820000,604.460000,-80.990000,13.500000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AT_summary.csv,leaf30 middle granularity with closest-density rearm; checks whether leaf20 is too noisy
71,reference_only,34.194176,run50AS,et40h6_r050_a,5.382514,3.641026,1.090000,1.430000,216.760000,650.430000,317.810000,121.060000,,,,,,,,,216.760000,650.430000,-80.990000,13.500000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AS_summary.csv,run50AR et40s25_c0_h6_a with stricter 0.050 confidence pulse rearm; quality-pressure branch
72,reference_only,34.069547,run50M,nf150_c6_h10_s350l250_b045,6.907104,4.430769,1.010000,1.280000,26.310000,590.300000,259.820000,155.160000,,,,,,,,,35.340000,452.980000,113.930000,16.670000,quality_or_density_inconclusive_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50M_summary.csv,matched six-bar cooldown A+B comparison for Tier B contribution and disablement read
73,reference_only,34.024521,run50X,nfx_s35l22_c2_s2030l40,7.038251,5.025641,1.120000,1.080000,367.110000,211.760000,193.940000,248.520000,,,,,,,,,355.240000,181.970000,-61.950000,2.600000,selected_research_baseline_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50X_summary.csv,wider short ADX firewall plus soft long ADX 40+ OOS damage firewall
74,reference_only,34.005225,run50AS,et40h6_tr_a,5.338798,3.615385,1.080000,1.440000,196.930000,663.370000,309.180000,122.500000,,,,,,,,,196.930000,663.370000,-80.990000,13.500000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AS_summary.csv,run50AR et40s25_c0_h6_a with strict same-signal transition block; tests real density without confidence rearm
75,reference_only,33.992601,run50BK,s43c02_h4c0_with_b_blvl,6.846995,5.066667,1.120000,1.100000,346.590000,233.410000,359.260000,182.900000,-0.223392,-0.263755,0.730247,0.762146,1.846995,1.205128,0.601174,0.606998,300.330000,231.850000,196.030000,-81.850000,cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BK_summary.csv,Matched filtered route with Tier B enabled to audit whether fallback still creates hidden OOS damage.
76,reference_only,33.870495,run50BJ,s45c04_h4c0,7.349727,4.512821,1.010000,1.060000,33.620000,110.000000,337.060000,152.120000,-0.475004,-0.375000,0.464684,0.427273,3.934426,2.584615,0.585859,0.604767,114.360000,122.000000,85.740000,9.770000,oos_density;validation_pf;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BJ_summary.csv,Run50AW c6 source had validation density but OOS density shortage; c0 tests raw independent-event density before cooldown pressure.
77,reference_only,33.869831,run50AX,v02_s45_primary_s47_flatfill_h4c6,7.770492,5.046154,1.010000,1.020000,34.380000,34.010000,177.470000,279.650000,-0.475823,-0.465437,0.521097,0.558943,3.721311,2.225641,0.562854,0.579995,217.300000,-44.830000,107.430000,-98.240000,validation_pf;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AX_summary.csv,Stage45 density/OOS-positive source is primary; Stage47 fills only primary-flat rows.
78,reference_only,33.455443,run50AN,inv6_s042l040_h3_b060,8.721311,6.405128,0.980000,0.970000,-75.850000,-89.440000,442.590000,371.460000,,,,,,,,,-86.000000,46.070000,-26.410000,-6.360000,inconclusive_stage56_lgbm_fwd6_density_branch_mt5_runtime_probe_completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AN_summary.csv,inverse fwd6 LGBM with a mild raw-short confidence firewall and hold3 density pressure
79,reference_only,33.431387,run50X,nfx_s33l20_c3_s2030l40,6.513661,4.641026,1.120000,1.140000,329.450000,318.730000,200.420000,136.300000,,,,,,,,,281.070000,279.950000,-0.400000,-1.130000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50X_summary.csv,density pressure with wider short ADX firewall plus soft long ADX 40+ firewall
80,reference_only,33.428849,run50AH,nf200s25b,5.513661,3.789744,1.180000,1.240000,459.980000,428.880000,266.110000,145.390000,,,,,,,,,550.200000,310.590000,-83.930000,-10.430000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AH_summary.csv,matched A+B comparison for stronger non-flat weighting
81,failure_memory,33.401765,run50BP,v55_et40_slot25_first_h2c0_no_b,7.628415,5.897436,0.940000,1.080000,-173.570000,187.300000,506.740000,226.700000,-0.624334,-0.337130,0.712751,0.745217,2.191257,1.502564,0.611862,0.601615,-173.570000,187.300000,-78.920000,-2.080000,validation_net_positive;validation_pf;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BP_summary.csv,Use the first non-flat run50BH ExtraTrees signal in each 25-minute cash-session slot.
82,reference_only,33.364512,run50N,c6s330l235_b_sadx,6.196721,4.005128,1.090000,1.250000,256.420000,508.970000,237.160000,171.290000,,,,,,,,,238.730000,536.950000,-45.010000,18.420000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50N_summary.csv,lower threshold density recovery after ADX short block; A+B routed read
83,reference_only,33.364512,run50N,c6s315l225_b_sadx,6.196721,4.005128,1.090000,1.250000,256.420000,508.970000,237.160000,171.290000,,,,,,,,,238.730000,536.950000,-45.010000,18.420000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50N_summary.csv,stronger density recovery pressure after ADX short block; A+B routed read
84,reference_only,33.278978,run50N,c6s350l250_b_sadx,6.169399,3.994872,1.090000,1.250000,253.330000,511.430000,237.160000,171.290000,,,,,,,,,236.570000,514.230000,-45.010000,18.420000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50N_summary.csv,six-bar cooldown with short-side ADX 20-25 block; A+B routed read for Tier B contribution
85,reference_only,33.262726,run50AH,c100s25b,5.393443,3.697436,1.130000,1.310000,334.280000,545.590000,288.110000,149.550000,,,,,,,,,398.560000,468.440000,-83.930000,-10.430000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AH_summary.csv,matched A+B comparison for C=1.00 s25 model-axis perturbation
86,failure_memory,32.831840,run50BP,v59_et40_slot25_first_h1c0_no_b,8.027322,6.169231,0.890000,0.990000,-205.160000,-11.430000,243.570000,179.620000,-0.639660,-0.509501,0.686862,0.730673,2.513661,1.661538,0.612324,0.605135,-205.160000,-11.430000,-6.170000,0.990000,validation_net_positive;oos_net_positive;validation_pf;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BP_summary.csv,Use 25-minute slot lifecycle with hold1 to test cooldown survival after shorter exposure.
87,reference_only,32.705254,run50AX,v01_s47_primary_s45_flatfill_h4c6,7.606557,4.948718,1.010000,1.000000,26.960000,3.140000,166.890000,273.180000,-0.480632,-0.496746,0.516523,0.553368,3.677596,2.210256,0.567187,0.588645,200.980000,-46.250000,102.720000,-86.100000,oos_density;validation_pf;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AX_summary.csv,Stage47 quality-positive source is primary; Stage45 volatility source fills only primary-flat rows.
88,reference_only,32.683256,run50AF,s25c8a,5.349727,3.646154,1.190000,1.230000,466.640000,417.570000,255.140000,159.260000,,,,,,,,,466.640000,417.570000,-83.930000,-10.430000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AF_summary.csv,A-only repair probe after run50AE c08b attribution: remove validation sell ADX 20-25 damage while preserving hold8/cooldown8; single-axis ADX filter does not include buy vol_low firewall
89,reference_only,32.683256,run50AF,l16c8a,5.349727,3.646154,1.190000,1.230000,466.640000,417.570000,255.140000,159.260000,,,,,,,,,466.640000,417.570000,-83.930000,-10.430000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AF_summary.csv,recover long-side density after short ADX20-25 repair by lowering long threshold from 0.170 to 0.160
90,reference_only,32.683256,run50AG,s24l15a,5.349727,3.646154,1.190000,1.230000,466.640000,417.570000,255.140000,159.260000,,,,,,,,,466.640000,417.570000,-83.930000,-10.430000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AG_summary.csv,A-only OOS density repair from run50AF s25c8a by relaxing short to 0.240 and long to 0.150
91,reference_only,32.683256,run50AG,s22l14a,5.349727,3.646154,1.190000,1.230000,466.640000,417.570000,255.140000,159.260000,,,,,,,,,466.640000,417.570000,-83.930000,-10.430000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AG_summary.csv,stronger OOS density pressure while retaining short ADX20-25 block; A-only comparison
92,reference_only,32.683256,run50AG,s20l13a,5.349727,3.646154,1.190000,1.230000,466.640000,417.570000,255.140000,159.260000,,,,,,,,,466.640000,417.570000,-83.930000,-10.430000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AG_summary.csv,aggressive density pressure from s25c8a quality branch; A-only comparison
93,reference_only,32.548556,run50AH,c100s25a,5.349727,3.625641,1.160000,1.260000,398.560000,468.440000,255.140000,149.550000,,,,,,,,,398.560000,468.440000,-83.930000,-10.430000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AH_summary.csv,A-only C=1.00 model-axis perturbation to change probability ranking without lowering thresholds
94,reference_only,32.520899,run50AH,nf200s25a,5.437158,3.733333,1.230000,1.170000,550.200000,310.590000,216.240000,241.910000,,,,,,,,,550.200000,310.590000,-83.930000,-10.430000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AH_summary.csv,A-only stronger non-flat weighting to open OOS density without same threshold relaxation
95,reference_only,32.370603,run50AF,s25c8b,5.404372,3.723077,1.150000,1.250000,381.010000,453.490000,321.020000,158.050000,,,,,,,,,466.640000,417.570000,-83.930000,-10.430000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AF_summary.csv,matched A+B routed comparison for short ADX20-25 cooldown8 repair
96,reference_only,32.370603,run50AF,l16c8b,5.404372,3.723077,1.150000,1.250000,381.010000,453.490000,321.020000,158.050000,,,,,,,,,466.640000,417.570000,-83.930000,-10.430000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AF_summary.csv,matched A+B routed comparison for lower-long threshold short ADX20-25 repair
97,reference_only,32.370603,run50AG,s24l15b,5.404372,3.723077,1.150000,1.250000,381.010000,453.490000,321.020000,158.050000,,,,,,,,,466.640000,417.570000,-83.930000,-10.430000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AG_summary.csv,matched A+B comparison for s24/l15 cooldown8 density repair
98,reference_only,32.370603,run50AG,s22l14b,5.404372,3.723077,1.150000,1.250000,381.010000,453.490000,321.020000,158.050000,,,,,,,,,466.640000,417.570000,-83.930000,-10.430000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AG_summary.csv,matched A+B comparison for stronger threshold relaxation
99,reference_only,32.370603,run50AG,s20l13b,5.404372,3.723077,1.150000,1.250000,381.010000,453.490000,321.020000,158.050000,,,,,,,,,466.640000,417.570000,-83.930000,-10.430000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AG_summary.csv,matched A+B comparison for aggressive density pressure
100,reference_only,32.280193,run50AT,et20h6_r015_b,6.584699,4.748718,1.070000,1.140000,220.660000,312.020000,287.590000,248.720000,,,,,,,,,226.280000,277.780000,-80.990000,13.500000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AT_summary.csv,matched A+B comparison for leaf20 0.015 rearm; Tier B must not hide OOS damage
101,reference_only,32.175021,run50BK,s43c02_h4c0_no_b,6.693989,5.082051,1.110000,1.070000,317.360000,156.810000,358.740000,313.140000,-0.240931,-0.341766,0.734694,0.766902,1.775956,1.184615,0.595240,0.618154,317.360000,156.810000,238.340000,-20.270000,oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BK_summary.csv,Run50BJ s43c02 raw-density route with Tier B disabled after Tier B OOS damage.
102,reference_only,32.124749,run50AJ,nf200s25b_qda93_flatfill,5.469945,3.723077,1.180000,1.200000,467.140000,362.920000,216.240000,177.790000,,,,,,,,,550.200000,310.590000,,,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AJ_summary.csv,Quality-biased QDA q93 secondary coverage(보조 커버리지) under the same primary-flat(주 라우트 관망) gate.
103,reference_only,31.967135,run50N,c6s330l235_a_sadx,5.721311,3.728205,1.080000,1.270000,238.730000,536.950000,267.510000,156.560000,,,,,,,,,238.730000,536.950000,-45.010000,18.420000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50N_summary.csv,lower threshold density recovery after ADX short block; matched A-only read
104,reference_only,31.967135,run50N,c6s315l225_a_sadx,5.721311,3.728205,1.080000,1.270000,238.730000,536.950000,267.510000,156.560000,,,,,,,,,238.730000,536.950000,-45.010000,18.420000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50N_summary.csv,stronger density recovery pressure after ADX short block; matched A-only read
105,reference_only,31.929986,run50U,nf_vollow_h06_s370l240_b,7.278689,5.456410,1.040000,1.050000,155.070000,151.120000,256.520000,260.720000,,,,,,,,,125.650000,92.040000,69.870000,-49.910000,quality_or_density_inconclusive_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50U_summary.csv,hold6 vol_low block with mild short threshold filter; B045 fallback
106,failure_memory,31.796401,run50AX,v03_s47_s45_no_conflict_union_h3c6,7.224044,4.574359,1.040000,0.850000,80.110000,-288.970000,177.370000,497.970000,-0.439402,-0.823957,0.503026,0.535874,3.590164,2.123077,0.590707,0.609845,140.810000,-270.900000,26.420000,-88.570000,oos_density;oos_net_positive;validation_pf;oos_pf;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AX_summary.csv,Use either source when only one fires or both agree; stay flat when sources conflict.
107,reference_only,31.755831,run50L,nf150_c6_h10_s370l270_b045,6.693989,4.292308,1.040000,1.190000,125.870000,413.780000,217.200000,256.050000,,,,,,,,,75.910000,326.850000,113.930000,16.670000,quality_or_density_inconclusive_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50L_summary.csv,matched six-bar cooldown A+B comparison for Tier B disablement evidence
108,reference_only,31.663933,run50AT,et60h6_r015_a,5.699454,4.056410,1.060000,1.270000,164.770000,510.110000,216.000000,188.280000,,,,,,,,,164.770000,510.110000,-80.990000,13.500000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AT_summary.csv,leaf60 smoother ExtraTrees branch; tests whether run50AS density loss came from over-fragmented leaf40 decisions
109,reference_only,31.638092,run50AU,qda85_s750_flat_trans_r030_h8,6.377049,4.169231,1.170000,1.070000,504.240000,148.670000,329.790000,174.160000,,,,,,,,,490.610000,97.660000,,,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AU_summary.csv,Aggressive QDA q85 threshold 0.750; boundary test for density cliff and cost-stress damage.
110,reference_only,31.555021,run50T,nf_vollow_h06_s350l240_b,7.311475,5.471795,1.030000,1.050000,116.610000,146.500000,256.520000,260.720000,,,,,,,,,84.060000,87.010000,69.870000,-49.910000,quality_or_density_inconclusive_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50T_summary.csv,hold6 compression after vol_low block; B045 fallback
111,reference_only,31.555021,run50T,nf_vollow_h06_s340l230_b,7.311475,5.471795,1.030000,1.050000,116.610000,146.500000,256.520000,260.720000,,,,,,,,,84.060000,87.010000,69.870000,-49.910000,quality_or_density_inconclusive_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50T_summary.csv,hold6 density pressure after vol_low block; B045 fallback
112,reference_only,31.537096,run50AJ,nf200s25b_qda85_flatfill,5.475410,3.723077,1.160000,1.200000,424.330000,362.700000,227.390000,177.790000,,,,,,,,,550.200000,310.590000,,,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AJ_summary.csv,Keep nf200s25b as primary(주 라우트) and open QDA q85 secondary coverage(보조 커버리지) only when primary is flat(관망) and no position(무포지션).
113,reference_only,31.516850,run50U,nf_vollow_h06_s390l230_b,7.147541,5.358974,1.060000,1.040000,199.480000,105.840000,256.520000,264.040000,,,,,,,,,175.090000,64.120000,69.870000,-49.910000,quality_or_density_inconclusive_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50U_summary.csv,hold6 vol_low block with stronger short threshold filter; B045 fallback
114,reference_only,31.511208,run50AH,c025s25b,5.431694,3.605128,1.140000,1.240000,364.330000,427.070000,266.530000,189.160000,,,,,,,,,449.960000,294.180000,-83.930000,-10.430000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AH_summary.csv,matched A+B comparison for C=0.25 s25 model-axis perturbation
115,reference_only,31.501059,run50BK,s43c02_h4c0_no_b_blvl,6.295082,4.687179,1.110000,1.100000,300.330000,231.850000,346.790000,211.840000,-0.239297,-0.246335,0.716146,0.748359,1.786885,1.179487,0.596701,0.618330,300.330000,231.850000,196.030000,-81.850000,oos_density;cost_stressed_expectancy;same_move_density,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50BK_summary.csv,"Blocks long signals during low historical_vol_20 late session, the largest run50BJ OOS damage bucket; Tier B disabled."
116,reference_only,31.490994,run50AT,et20h6_r015_a,6.551913,4.666667,1.070000,1.120000,226.280000,277.780000,287.590000,245.310000,,,,,,,,,226.280000,277.780000,-80.990000,13.500000,weak_dense_engine_candidate_actual_routed_mt5,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/03_reviews/run50AT_summary.csv,leaf20 ExtraTrees with run50AS closest-density rearm; tests whether finer tree granularity creates real transition-gated density
