time_open_unix,time_close_unix,contract_symbol,broker_symbol,timeframe,price_basis,open,high,low,close,tick_volume,spread_points,real_volume,time_basis,timezone_status
1777057800,1777058100,TSLA,TSLA.xnas,M5,Bid,373.12,374.47,372.89,374.43,655,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777058100,1777058400,TSLA,TSLA.xnas,M5,Bid,374.42,375.03,374.17,375.03,561,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777058400,1777058700,TSLA,TSLA.xnas,M5,Bid,375.03,375.63,374.49,374.59,493,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777058700,1777059000,TSLA,TSLA.xnas,M5,Bid,374.62,374.91,373.84,373.96,508,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777059000,1777059300,TSLA,TSLA.xnas,M5,Bid,373.99,374.33,373.26,373.76,582,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777059300,1777059600,TSLA,TSLA.xnas,M5,Bid,373.74,374.33,373.58,374.15,506,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777059600,1777059900,TSLA,TSLA.xnas,M5,Bid,374.17,374.26,373.02,373.16,486,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777059900,1777060200,TSLA,TSLA.xnas,M5,Bid,373.16,373.9,373.11,373.54,474,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777060200,1777060500,TSLA,TSLA.xnas,M5,Bid,373.52,373.73,373.01,373.21,447,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777060500,1777060800,TSLA,TSLA.xnas,M5,Bid,373.19,374.15,373.17,374.13,495,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777060800,1777061100,TSLA,TSLA.xnas,M5,Bid,374.14,374.46,373.78,374.03,581,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777061100,1777061400,TSLA,TSLA.xnas,M5,Bid,374.01,375.87,373.92,375.79,553,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777061400,1777061700,TSLA,TSLA.xnas,M5,Bid,375.78,376.2,375.42,375.82,492,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777061700,1777062000,TSLA,TSLA.xnas,M5,Bid,375.73,375.82,374.67,375.64,546,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777062000,1777062300,TSLA,TSLA.xnas,M5,Bid,375.68,376.32,375.42,376.18,586,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777062300,1777062600,TSLA,TSLA.xnas,M5,Bid,376.19,376.5,375.31,375.5,489,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777062600,1777062900,TSLA,TSLA.xnas,M5,Bid,375.46,375.79,375.1,375.34,432,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777062900,1777063200,TSLA,TSLA.xnas,M5,Bid,375.37,375.9,374.6,374.75,481,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777063200,1777063500,TSLA,TSLA.xnas,M5,Bid,374.75,376.02,374.7,375.94,487,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777063500,1777063800,TSLA,TSLA.xnas,M5,Bid,375.95,376.11,375.64,375.77,410,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777063800,1777064100,TSLA,TSLA.xnas,M5,Bid,375.75,376.48,375.71,375.97,464,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777064100,1777064400,TSLA,TSLA.xnas,M5,Bid,376.1,377.05,375.97,376.35,691,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777064400,1777064700,TSLA,TSLA.xnas,M5,Bid,376.37,376.65,375.65,376.05,509,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777064700,1777065000,TSLA,TSLA.xnas,M5,Bid,376.07,376.23,375.4,375.82,449,7,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777065000,1777065300,TSLA,TSLA.xnas,M5,Bid,375.84,376.13,375.67,375.84,386,7,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777065300,1777065600,TSLA,TSLA.xnas,M5,Bid,375.8,376.09,375.54,376.03,369,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777065600,1777065900,TSLA,TSLA.xnas,M5,Bid,375.98,376.32,375.75,376.14,417,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777065900,1777066200,TSLA,TSLA.xnas,M5,Bid,376.15,376.22,375.05,375.12,442,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777066200,1777066500,TSLA,TSLA.xnas,M5,Bid,375.14,375.99,375.04,375.77,425,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777066500,1777066800,TSLA,TSLA.xnas,M5,Bid,375.76,376.63,375.76,376.53,434,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777066800,1777067100,TSLA,TSLA.xnas,M5,Bid,376.54,376.89,375.97,376.02,357,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777067100,1777067400,TSLA,TSLA.xnas,M5,Bid,376.01,376.18,375.47,375.75,389,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777067400,1777067700,TSLA,TSLA.xnas,M5,Bid,375.74,376.4,375.5,376.08,481,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777067700,1777068000,TSLA,TSLA.xnas,M5,Bid,376.09,376.18,375.67,376.12,489,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777068000,1777068300,TSLA,TSLA.xnas,M5,Bid,376.12,376.53,375.82,376.06,591,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777068300,1777068600,TSLA,TSLA.xnas,M5,Bid,376.03,376.46,375.73,376.4,509,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777068600,1777068900,TSLA,TSLA.xnas,M5,Bid,376.38,376.49,375.98,376.26,511,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777068900,1777069200,TSLA,TSLA.xnas,M5,Bid,376.26,376.9,376.14,376.55,605,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777069200,1777069500,TSLA,TSLA.xnas,M5,Bid,376.54,376.85,376.21,376.8,700,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777069500,1777069800,TSLA,TSLA.xnas,M5,Bid,376.83,377.18,376.52,376.65,629,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777069800,1777070100,TSLA,TSLA.xnas,M5,Bid,376.68,377.22,376.22,377.05,609,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777070100,1777070400,TSLA,TSLA.xnas,M5,Bid,376.98,377.52,376.72,377.26,584,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777070400,1777070700,TSLA,TSLA.xnas,M5,Bid,377.33,377.71,377.14,377.2,736,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777070700,1777071000,TSLA,TSLA.xnas,M5,Bid,377.2,377.2,376.48,376.81,565,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777071000,1777071300,TSLA,TSLA.xnas,M5,Bid,376.87,377.78,376.41,377.73,830,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777071300,1777071600,TSLA,TSLA.xnas,M5,Bid,377.57,377.57,376.12,376.33,909,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777307400,1777307700,TSLA,TSLA.xnas,M5,Bid,369.57,370.45,366.98,368.95,885,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777307700,1777308000,TSLA,TSLA.xnas,M5,Bid,368.9,369.83,367.95,368.78,892,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777308000,1777308300,TSLA,TSLA.xnas,M5,Bid,368.84,370.27,367.5,368.87,872,7,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777308300,1777308600,TSLA,TSLA.xnas,M5,Bid,368.97,368.97,366.37,366.88,829,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777308600,1777308900,TSLA,TSLA.xnas,M5,Bid,366.92,367.3,365.17,367.08,962,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777308900,1777309200,TSLA,TSLA.xnas,M5,Bid,367.09,367.44,365.64,365.64,832,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777309200,1777309500,TSLA,TSLA.xnas,M5,Bid,365.66,366.97,364.69,366.59,790,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777309500,1777309800,TSLA,TSLA.xnas,M5,Bid,366.6,367.02,365.39,365.39,707,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777309800,1777310100,TSLA,TSLA.xnas,M5,Bid,365.39,366.29,365.14,366.22,790,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777310100,1777310400,TSLA,TSLA.xnas,M5,Bid,366.24,366.24,364.91,365.5,734,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777310400,1777310700,TSLA,TSLA.xnas,M5,Bid,365.52,366.43,365.17,366.04,730,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777310700,1777311000,TSLA,TSLA.xnas,M5,Bid,366.09,367.48,365.88,367.19,699,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777311000,1777311300,TSLA,TSLA.xnas,M5,Bid,367.19,367.34,366.04,367.21,743,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777311300,1777311600,TSLA,TSLA.xnas,M5,Bid,367.23,368.45,366.85,368.22,735,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777311600,1777311900,TSLA,TSLA.xnas,M5,Bid,368.22,368.93,367.7,368.69,656,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777311900,1777312200,TSLA,TSLA.xnas,M5,Bid,368.7,368.95,367.98,368.0,571,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777312200,1777312500,TSLA,TSLA.xnas,M5,Bid,368.0,368.42,366.19,366.33,653,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777312500,1777312800,TSLA,TSLA.xnas,M5,Bid,366.32,366.62,365.72,366.27,611,7,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777312800,1777313100,TSLA,TSLA.xnas,M5,Bid,366.31,366.69,364.47,364.85,684,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777313100,1777313400,TSLA,TSLA.xnas,M5,Bid,364.79,365.21,364.17,364.88,718,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777313400,1777313700,TSLA,TSLA.xnas,M5,Bid,364.94,365.98,364.91,365.49,563,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777313700,1777314000,TSLA,TSLA.xnas,M5,Bid,365.49,365.83,364.78,364.97,494,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777314000,1777314300,TSLA,TSLA.xnas,M5,Bid,364.96,365.19,363.98,364.82,608,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777314300,1777314600,TSLA,TSLA.xnas,M5,Bid,364.84,365.91,364.63,365.88,577,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777314600,1777314900,TSLA,TSLA.xnas,M5,Bid,365.81,366.87,365.72,366.59,543,5,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
1777314900,1777315200,TSLA,TSLA.xnas,M5,Bid,366.59,367.27,366.4,366.82,501,6,0,MT5_PY_API_UNIX_SECONDS,UNRESOLVED_REQUIRES_MANUAL_BINDING
