record_type,feature_index,item_index,value,score_short,score_flat,score_long
score,3,29,,0.0021171168351607865,-0.065161374944519845,0.056403142842580627
score,3,30,,0.0021171168351607865,-0.065161374944519845,0.056403142842580627
score,3,31,,0,0,0
cut,4,0,0.92091071605682373,,,
cut,4,1,0.96608132123947144,,,
cut,4,2,0.99551403522491455,,,
cut,4,3,1.0182520747184753,,,
cut,4,4,1.0393686294555664,,,
cut,4,5,1.0613402128219604,,,
cut,4,6,1.0798667073249817,,,
cut,4,7,1.0995410084724426,,,
cut,4,8,1.1207160949707031,,,
cut,4,9,1.1411902904510498,,,
cut,4,10,1.1632435917854309,,,
cut,4,11,1.1884024739265442,,,
cut,4,12,1.2158356904983521,,,
cut,4,13,1.2420656085014343,,,
cut,4,14,1.2696001529693604,,,
cut,4,15,1.3003091216087341,,,
cut,4,16,1.3291193842887878,,,
cut,4,17,1.3575268387794495,,,
cut,4,18,1.3830714821815491,,,
cut,4,19,1.4096577763557434,,,
cut,4,20,1.4349581003189087,,,
cut,4,21,1.461380660533905,,,
cut,4,22,1.4858039617538452,,,
cut,4,23,1.5111489295959473,,,
cut,4,24,1.536905825138092,,,
cut,4,25,1.5681326985359192,,,
cut,4,26,1.599811851978302,,,
cut,4,27,1.6369975805282593,,,
cut,4,28,1.6951662302017212,,,
score,4,0,,0,0,0
score,4,1,,0.0069771638251996341,-0.00054287064796484615,-0.0066567111695601359
score,4,2,,0.012765519517800035,-0.0023687574002735105,-0.0097850107485967126
score,4,3,,0.0095895830390416627,-0.0069330617448127548,-0.0021045591937533283
score,4,4,,0.0095895830390416627,-0.0069330617448127548,-0.0021045591937533283
score,4,5,,0.0073939508393010746,-0.0081907476539248673,0.0011719452237638486
score,4,6,,0.0074791604030651684,-0.011793186518514298,0.0047200566824789451
score,4,7,,0.0053547123604584515,-0.0097399581841434348,0.0045125295091375129
score,4,8,,0.004871711984381682,-0.011025561266764745,0.0062482271402449045
score,4,9,,-0.0044230897048611528,-0.0019149605118859738,0.0054834991528401999
score,4,10,,-0.0080239042621040191,-0.00048169658811404747,0.0072365781700948961
score,4,11,,-0.0095870258722430546,0.0019061613330426024,0.0063108456926396503
score,4,12,,-0.010223054966662422,0.0035295533510977563,0.0053101136137007109
score,4,13,,-0.0085876213735787531,0.0054137953888323135,0.0020262381787289783
score,4,14,,-0.0085278013577910761,0.0088019795205116647,-0.0012353439588097316
score,4,15,,-0.0094798702583267901,0.012289682642655933,-0.0036319977744989152
score,4,16,,-0.0054450687909326943,0.0033031708985907472,0.0011772435415247976
score,4,17,,-0.0049814355732762418,0.0056772389939977819,-0.0014117297213198637
score,4,18,,-0.0053357377426966656,0.0073202028289912667,-0.0025641579752043045
score,4,19,,-0.0031593116483087458,0.0030396383780030714,-0.00040696756778120003
score,4,20,,-0.0031593116483087458,0.0030396383780030714,-0.00040696756778120003
score,4,21,,-0.0042956609033029565,0.0041899932418283407,-0.00035841772214714816
score,4,22,,-0.0034327776572525945,0.0035255826596891204,-0.00058117008388045737
score,4,23,,-0.0026766888086639448,0.0033464610375147094,-0.0011266891414357541
score,4,24,,-0.00019889486279342055,0.0014558878337021946,-0.0018189651179455373
score,4,25,,0.004643909540638088,-0.0070856562783642709,0.001761782084571609
score,4,26,,0.0071374666892810154,-0.0024338882454738465,-0.0043036881393779267
score,4,27,,0.010464253182161525,-0.0080444174981522867,-0.00167906661907164
score,4,28,,0.0067174279786703112,-0.0043921908718748881,-0.0010504879765909081
score,4,29,,0.0015667191955182182,-0.0024226408206787474,0.0026815814505395386
score,4,30,,-0.0030124218691291523,0.017448242793224322,-0.0074092968515080421
score,4,31,,0,0,0
cut,5,0,0.0022795088589191437,,,
cut,5,1,0.002698840806260705,,,
cut,5,2,0.0030146276112645864,,,
cut,5,3,0.00331124197691679,,,
cut,5,4,0.0035768712405115366,,,
cut,5,5,0.0038154942449182272,,,
cut,5,6,0.0040576655883342028,,,
cut,5,7,0.0043173281010240316,,,
cut,5,8,0.0045839974191039801,,,
cut,5,9,0.004839329281821847,,,
cut,5,10,0.0050934711471199989,,,
cut,5,11,0.0053785641212016344,,,
cut,5,12,0.0056580530945211649,,,
cut,5,13,0.00594564457423985,,,
cut,5,14,0.0062346633058041334,,,
cut,5,15,0.0065484656952321529,,,
