record_view,candidate_id,candidate_alias,candidate_role,test_id,test_type,materialization_boundary,route_role,trade_count,net_profit,gross_profit,gross_loss,profit_factor,expectancy,win_rate,avg_win,avg_loss,payoff_ratio,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,underwater_trade_share,max_losing_streak,recovery_factor_closed,report_equity_drawdown_percent,report_balance_drawdown_percent,report_recovery_factor,tier_b_fallback_used_count,tier_b_fallback_order_fill_count,positive_month_ratio,negative_month_count,worst_month,worst_month_net,best_month,best_month_net,chron_early_net,chron_mid_net,chron_late_net,source_chart_path,curve_read
mt5_rt_s264_aia_abl_volatility_bandwidth_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,315,408.29,1584.62,-1176.33,1.347088,1.296159,0.539683,9.321294,-8.112621,1.148987,113.81,15.140349,159,0.892063,5,3.58747,15.85,15.14,3.42,0,0,0.666667,4,2024-06,-32.37,2024-02,135.28,197.61,41.42,169.26,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_15_s264_aia_abl_volatility_bandwidth_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s264_aia_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,340,176.35,1563.34,-1386.99,1.127146,0.518676,0.511765,8.984713,-8.355361,1.075323,189.15,24.90028,265,0.944118,6,0.932329,25.47,24.9,0.91,0,0,0.5,6,2024-07,-74.27,2024-02,147.46,194.71,-65.88,47.52,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_16_s264_aia_abl_trend_strength_direction_ta_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_rt_s264_aia_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,340,176.35,1563.34,-1386.99,1.127146,0.518676,0.511765,8.984713,-8.355361,1.075323,189.15,24.90028,265,0.944118,6,0.932329,25.47,24.9,0.91,0,0,0.5,6,2024-07,-74.27,2024-02,147.46,194.71,-65.88,47.52,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_16_s264_aia_abl_trend_strength_direction_rt_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_ta_s264_aia_abl_session_timing_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_session_timing,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,332,365.09,1958.15,-1593.06,1.229175,1.099669,0.53012,11.125852,-10.211923,1.089496,171.72,19.984097,123,0.915663,6,2.126077,18.53,17.95,2.05,0,0,0.666667,4,2024-07,-72.07,2024-02,174.41,314.83,-32.24,82.5,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_17_s264_aia_abl_session_timing_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_rt_s264_aia_abl_session_timing_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,abl_session_timing,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,332,365.09,1958.15,-1593.06,1.229175,1.099669,0.53012,11.125852,-10.211923,1.089496,171.72,19.984097,123,0.915663,6,2.126077,18.53,17.95,2.05,0,0,0.666667,4,2024-07,-72.07,2024-02,174.41,314.83,-32.24,82.5,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_17_s264_aia_abl_session_timing_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s264_aia_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,340,176.35,1563.34,-1386.99,1.127146,0.518676,0.511765,8.984713,-8.355361,1.075323,189.15,24.90028,265,0.944118,6,0.932329,25.47,24.9,0.91,0,0,0.5,6,2024-07,-74.27,2024-02,147.46,194.71,-65.88,47.52,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_18_s264_aia_rep_trend_strength_adx_ta_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_rt_s264_aia_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,340,176.35,1563.34,-1386.99,1.127146,0.518676,0.511765,8.984713,-8.355361,1.075323,189.15,24.90028,265,0.944118,6,0.932329,25.47,24.9,0.91,0,0,0.5,6,2024-07,-74.27,2024-02,147.46,194.71,-65.88,47.52,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_18_s264_aia_rep_trend_strength_adx_rt_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_ta_s264_aia_rep_volatility_atr_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,315,408.29,1584.62,-1176.33,1.347088,1.296159,0.539683,9.321294,-8.112621,1.148987,113.81,15.140349,159,0.892063,5,3.58747,15.85,15.14,3.42,0,0,0.666667,4,2024-06,-32.37,2024-02,135.28,197.61,41.42,169.26,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_19_s264_aia_rep_volatility_atr_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_rt_s264_aia_rep_volatility_atr_historical_2024_tier_a_train_era_stress,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,315,408.29,1584.62,-1176.33,1.347088,1.296159,0.539683,9.321294,-8.112621,1.148987,113.81,15.140349,159,0.892063,5,3.58747,15.85,15.14,3.42,0,0,0.666667,4,2024-06,-32.37,2024-02,135.28,197.61,41.42,169.26,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_19_s264_aia_rep_volatility_atr_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s258_stc_abl_price_return_range_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,335,265.82,1631.79,-1365.97,1.194602,0.793493,0.507463,9.598765,-8.278606,1.159466,219.0,26.458223,176,0.910448,7,1.21379,27.03,26.46,1.19,0,0,0.583333,5,2024-04,-78.2,2024-02,159.95,218.64,-35.54,82.72,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_20_s258_stc_abl_price_return_range_ta_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_rt_s258_stc_abl_price_return_range_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_price_return_range,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,335,265.82,1631.79,-1365.97,1.194602,0.793493,0.507463,9.598765,-8.278606,1.159466,219.0,26.458223,176,0.910448,7,1.21379,27.03,26.46,1.19,0,0,0.583333,5,2024-04,-78.2,2024-02,159.95,218.64,-35.54,82.72,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_20_s258_stc_abl_price_return_range_rt_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_ta_s258_stc_abl_volatility_bandwidth_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,335,442.13,1776.22,-1334.09,1.331409,1.319791,0.537313,9.867889,-8.607032,1.146491,148.03,18.528068,134,0.892537,6,2.986759,19.33,18.53,2.85,0,0,0.666667,4,2024-06,-46.68,2024-02,145.71,237.39,-16.02,220.76,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_21_s258_stc_abl_volatility_bandwidth_ta_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_rt_s258_stc_abl_volatility_bandwidth_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,335,442.13,1776.22,-1334.09,1.331409,1.319791,0.537313,9.867889,-8.607032,1.146491,148.03,18.528068,134,0.892537,6,2.986759,19.33,18.53,2.85,0,0,0.666667,4,2024-06,-46.68,2024-02,145.71,237.39,-16.02,220.76,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_21_s258_stc_abl_volatility_bandwidth_rt_2024.png,"constructive_curve_watch_not_selection(건설적 곡선 관찰, 선택 아님)"
mt5_ta_s258_stc_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,364,195.44,1799.99,-1604.55,1.121804,0.536923,0.508242,9.729676,-8.963966,1.085421,253.34,30.515538,285,0.923077,6,0.771453,31.04,30.52,0.76,0,0,0.583333,5,2024-07,-122.87,2024-02,162.08,237.25,-130.18,88.37,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_22_s258_stc_abl_trend_strength_direction_ta_2024.png,dd_or_month_hole_uncomfortable(손실폭 또는 월별 구멍 불편)
mt5_rt_s258_stc_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,364,195.44,1799.99,-1604.55,1.121804,0.536923,0.508242,9.729676,-8.963966,1.085421,253.34,30.515538,285,0.923077,6,0.771453,31.04,30.52,0.76,0,0,0.583333,5,2024-07,-122.87,2024-02,162.08,237.25,-130.18,88.37,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_22_s258_stc_abl_trend_strength_direction_rt_2024.png,dd_or_month_hole_uncomfortable(손실폭 또는 월별 구멍 불편)
mt5_ta_s258_stc_abl_session_timing_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_session_timing,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,354,317.33,2091.24,-1773.91,1.178887,0.896412,0.522599,11.304,-10.496509,1.076929,216.71,24.43317,147,0.918079,6,1.464307,25.5,24.43,1.39,0,0,0.583333,5,2024-07,-117.58,2024-02,193.03,329.39,-97.94,85.88,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_23_s258_stc_abl_session_timing_ta_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_rt_s258_stc_abl_session_timing_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,abl_session_timing,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,354,317.33,2091.24,-1773.91,1.178887,0.896412,0.522599,11.304,-10.496509,1.076929,216.71,24.43317,147,0.918079,6,1.464307,25.5,24.43,1.39,0,0,0.583333,5,2024-07,-117.58,2024-02,193.03,329.39,-97.94,85.88,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_23_s258_stc_abl_session_timing_rt_2024.png,"mixed_constructive_needs_more_pressure(혼합 건설적, 추가 압박 필요)"
mt5_ta_s258_stc_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,364,195.44,1799.99,-1604.55,1.121804,0.536923,0.508242,9.729676,-8.963966,1.085421,253.34,30.515538,285,0.923077,6,0.771453,31.04,30.52,0.76,0,0,0.583333,5,2024-07,-122.87,2024-02,162.08,237.25,-130.18,88.37,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_24_s258_stc_rep_trend_strength_adx_ta_2024.png,dd_or_month_hole_uncomfortable(손실폭 또는 월별 구멍 불편)
mt5_rt_s258_stc_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s258_short_tight_control,s258_stc,stress_challenger,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,364,195.44,1799.99,-1604.55,1.121804,0.536923,0.508242,9.729676,-8.963966,1.085421,253.34,30.515538,285,0.923077,6,0.771453,31.04,30.52,0.76,0,0,0.583333,5,2024-07,-122.87,2024-02,162.08,237.25,-130.18,88.37,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267N_stage267_pool_wide_ablation_replacement_materialization_v1_run267n_24_s258_stc_rep_trend_strength_adx_rt_2024.png,dd_or_month_hole_uncomfortable(손실폭 또는 월별 구멍 불편)
